72., 사건 ㅣ 쏜살 문고  ,10，800,아니 에르노
73., 체인소 맨 2 ,6，000,후지모토 타츠키
74., 해커스 GSAT 삼성직무적성검사 FINAL 봉투모의고사 4회분 (수리논리/추리) ,14，900,해커스 취업교육연구소
75., 부끄러움 ㅣ 비채 모던 앤 클래식 문학 Modern & Classic  ,12，500,아니 에르노
76., 체인소 맨 3 ,6，000,후지모토 타츠키
77., 돈의 속성 (200쇄 리커버 에디션， 양장)  ,17，800,김승호
78., 김영하 소설 결정판 박스 세트 2차분 - 전6권 ㅣ 복복서가 x 김영하 소설   ,73，000,김영하
79., 부의 추월차선 (10주년 스페셜 에디션) ,17，500,엠제이 드마코
80., 문장과 순간 ,18，000,박웅현
81., 어서 오세요， 이야기 수학 클럽에 ,16，000,김민형
82., 거의 모든 행동 표현의 영어 ,16，000,서영조
83., 이국에서  ,16，000,이승우
84., 에그박사의 채집 일기 3 ㅣ 에그박사의 채집 일기 3 ,13，500,에그박사
85., 원펀맨 One Punch Man 26 ,5，500,ONE
86., 비상선언 각본집 ,27，500,한재림
87., 체인소 맨 4 ,6，000,후지모토 타츠키
88., 아무튼， 사전 ㅣ 아무튼 시리즈 52 ,12，000,홍한별
89., 어느 날 공주가 되어버렸다 8 (일반판) ,15，000,스푼
90., 데미안 (오리지널 초판본 표지디자인) ㅣ 코너스톤 착한 고전 시리즈   ,3，300(56%정가인하),헤르만 헤세
91., 어느 날 공주가 되어버렸다 9 (일반판) ,15，000,스푼
92., 체인소 맨 5 ,6，000,후지모토 타츠키
93., 외사랑 ,17，800,히가시노 게이고
94., 체인소 맨 10 ,6，000,후지모토 타츠키
95., 나의 투자는 새벽 4시에 시작된다 ,19，800,유목민
96., 체인소 맨 11 ,6，000,후지모토 타츠키
97., 위풍당당 여우 꼬리 3 ㅣ 위풍당당 여우 꼬리 3 ,13，000,손원평
98., 월급쟁이 부자로 은퇴하라 (10만 부 돌파 기념 증보판)  ,19，800,너나위
99., 위대한 과학 고전 30권을 1권으로 읽는 책 ,17，800,김성근
100., 데일 카네기 자기관리론 ,11，500,데일 카네기
101., 다니엘 핑크 후회의 재발견 ,18，000,다니엘 핑크
102., 푸른 사자 와니니 4 ㅣ 창비아동문고 325 ,12，000,이현
103., 우리는 어디서 살아야 하는가 ,18，000,김시덕
104., 체인소 맨 9 ,6，000,후지모토 타츠키
105., 2022 하반기 에듀윌 취업 온라인 GSAT 삼성직무적성검사 실전 봉투모의고사 10회 ,18，000,에듀윌 취업연구소
106., 365일 명화 일력 (윈터 에디션 한정판) (스프링) ,18，800,김영숙
107., 데미안 ㅣ 민음사 세계문학전집 44  ,8，000,헤르만 헤세
108., 백년 허리 2 : 치료편 ㅣ 백년 허리 2  ,18，500,정선근
109., 게으른 완벽주의자를 위한 심리학 ,17，000,헤이든 핀치
110., 설민석의 한국사 대모험 22 ㅣ 설민석의 한국사 대모험 22 ,13，000,설민석， 스토리박스
111., 내 일로 건너가는 법 ,16，800,김민철
112., 남자의 자리 ㅣ 아니 에르노 컬렉션  ,12，000,아니 에르노
113., 푸른 사자 와니니 5 ㅣ 창비아동문고 326 ,12，000,이현
114., 좋은 불평등 ,22，000,최병천
115., 나는 나의 밤을 떠나지 않는다 ㅣ 프랑스 여성작가 소설 1 ,12，000,아니 에르노
116., 비탈릭 부테린 지분증명 ,22，000,비탈릭 부테린
117., 숲속의 담 5 ,15，000,다홍
118., 밝은 밤  ,14，500,최은영
119., 진짜 쓰는 실무 엑셀 ㅣ 진짜 쓰는 시리즈  ,21，000,오빠두(전진권)
120., 대한민국 부동산 부의 역사 ,22，000,이상우， 유성운， 김용석
121., 체인소 맨 6 ,6，000,후지모토 타츠키
122., 체인소 맨 8 ,6，000,후지모토 타츠키
123., 체인소 맨 7 ,6，000,후지모토 타츠키
124., 부동산 하락장에서 살아남기 ,17，000,대치동 키즈
125., 2022 청소년상담사 2급ㆍ3급 2차 면접대비 ,27，000,문두식
126., 최소한의 이웃 ,15，800,허지웅
127., 저스트.킵.바잉 ,19，800,닉 매기울리
128., 참 괜찮은 태도 ,16，800,박지현
