 88,데일 카네기 자기관리론(1948년 초판 완역본),데일 카네기 외,10，350
 89,클루지,개리 마커스 외,12，420
 90,EBS 고난도 시크릿X 봉투모의고사 국어영역(2022)(2023 수능 대비),EBS교육방송 편집부,8，820
 91,바자(BAZAAR)(2022년 11월호)(C형),허스트중앙 편집부,12，260
 92,큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1，2，3급),최태성,16，200
 93,마지막 몰입: 나를 넘어서는 힘,짐 퀵 외,15，120
 94,문장과 순간,박웅현,16，200
 95,EBS 만점마무리 봉투모의고사 Red Edition(2022)(2023 수능 대비),EBS교육방송 편집부,13，050
 96,긴긴밤,루리 외,10，350
 97,EBS 만점마무리 봉투모의고사 수학영역 3회분(2022)(2023 수능대비),EBS교육방송 편집부,7，200
 98,다니엘 핑크 후회의 재발견,다니엘 핑크 외,16，200
 99,빠르게 실패하기,존 크럼볼츠 외,14，850
 100,마이클 모부신 운과 실력의 성공 방정식,마이클 모부신 외,16，200
 101,우리는 어디서 살아야 하는가,김시덕,16，200
 102,오싹오싹 크레용!,에런 레이놀즈 외,11，700
 103,다정한 것이 살아남는다,브라이언 헤어 외,19，800
 104,미술관에 간 바이올리니스트,이수민 외,16，200
 105,분노가 세상을 바꾼다,홍사훈,15，300
 106,벌거벗은 한국사: 인물편,tvN STORY 〈벌거벗은 한국사〉 제작팀 외,16，920
 107,믹스(Mix),안성은(Brand Boy),16，920
 108,EBS 수능완성 영어영역 영어(2022)(2023 수능대비),EBS교육방송 편집부,9，630
 109,오투 중등 과학 3-2(2022),비상교육 편집부,15，750
 110,돈의 심리학(10만 부 돌파 기념 골드 에디션),모건 하우절 외,17，820
 111,대한민국 부동산 부의 역사,이상우 외,19，800
 112,나의 아름다운 할머니,심윤경,11，700
 113,대발이는 벚꽃을 좋아해,안도현,10，800
 114,이어령의 마지막 수업,김지수 외,14，850
 115,MAXIDENT [CASE VER], JYP엔터테인먼트  ,11，900
 116,우리는 이태석입니다,구수환,14，400
 117,EBS Final 실전모의고사 고등 국어영역(2022)(2023 수능대비),EBS교육방송 편집부,9，900
 118,소크라테스 익스프레스,에릭 와이너 외,16，200
 119,EBS Final 실전모의고사 고등 수학영역(2022)(2023 수능대비),EBS교육방송 편집부,9，900
 120,우리의 정원,김지현,10，800
 121,넛지(파이널 에디션),리처드 탈러 외,19，800
 122,2022 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1， 2， 3급)(하),최태성,13，050
 123,돈， 뜨겁게 사랑하고 차갑게 다루어라,앙드레 코스톨라니 외,10，800
 126,엄마의 말 연습,윤지영,15，750
 127,역설계,론 프리드먼 외,16，020
 128,백년운동,정선근,17，550
 129,레버리지,롭 무어 외,14，400
 130,생각에 관한 생각,대니얼 카너먼 외,22，500
 131,서울대 한국어 3B Student's Book,서울대학교 언어교육원,22，000
 132,유럽 도시 기행 2,유시민,15，750
 133,아버지의 해방일지,정지아,12，000
 134,단순한 열정,최정수 외,7，000
 135,세계미래보고서 2023,박영숙 외,16，200
 136,참 괜찮은 태도,박지현,15，120
 137,ADHD 우리 아이 어떻게 키워야 할까,신윤미,16，200
 138,월급쟁이 부자로 은퇴하라(10만 부 돌파 기념 증보판),너나위,17，820
 139,변화하는 세계 질서,레이 달리오 외,34，200
 140,세월,아니 에르노 외,13，950
 141,거의 모든 행동 표현의 영어,서영조,14，400
 142,쎈 중등 수학 3-2(2022),홍범준 외,13，950
 143,2022 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형+실전모의고사,해커스 취업교육연구소,20，610
 144,매3비 매일 지문 3개씩 푸는 비문학 독서 수능 기출(2022)(2023 수능대비),안인숙,15，300
 145,쎈 중등 수학 2-1(2022),홍범준 외,14，400
 146,뇌， 욕망의 비밀을 풀다,한스 게오르크 호이젤 외,16，200
 148,딥 타임,크리스티앙 클로 외,15，300
 149,외사랑,히가시노 게이고 외,16，020
